Population Size,Mutation Rate,Crossover Rate,Best Chromosome,Best Fitness,Mean Fitness,Std Fitness,Worst Chromosome,Worst Fitness
10,0.1,0.6,[0 0 0 1 0 1 1 1 1 1 0 1],0.8333333333333334,0.6666666666666667,0.08266397845091497,[0 0 1 1 0 1 1 0 0 1 0 0],0.48333333333333334
10,0.1,0.75,[0 0 0 0 1 0 1 1 0 0 0 1],0.85,0.7016666666666668,0.06211548384528073,[0 1 0 0 1 0 0 0 1 1 1 0],0.5833333333333334
10,0.1,0.9,[0 0 0 1 1 0 0 1 1 1 0 1],0.85,0.6883333333333334,0.0687386354243376,[1 1 1 0 1 0 0 0 0 1 1 0],0.5666666666666667
10,0.15,0.6,[1 0 0 0 1 0 1 1 0 0 0 1],0.8166666666666667,0.715,0.05294126724756197,[1 0 0 1 0 0 1 1 0 0 0 0],0.6
10,0.15,0.75,[0 1 0 0 1 0 1 1 1 1 0 1],0.85,0.7016666666666667,0.08513061859414757,[0 1 1 1 0 1 1 1 1 1 1 0],0.6
10,0.15,0.9,[0 0 1 1 1 1 0 1 1 1 1 1],0.85,0.72,0.07333333333333335,[0 0 1 1 1 0 1 1 0 0 0 0],0.6
10,0.2,0.6,[1 0 0 0 1 0 0 0 1 1 0 1],0.8333333333333334,0.7083333333333334,0.05439056290693573,[0 0 0 0 1 0 0 1 1 1 0 0],0.65
10,0.2,0.75,[0 1 0 0 1 0 1 1 1 1 0 1],0.85,0.6966666666666667,0.06616477747093069,[1 1 1 1 0 1 0 0 0 0 0 0],0.55
10,0.2,0.9,[0 0 0 1 1 0 1 1 0 0 0 1],0.85,0.73,0.0648930744464393,[1 1 0 1 0 1 0 0 0 1 1 0],0.6
20,0.1,0.6,[0 0 1 1 1 1 0 1 1 1 1 1],0.8333333333333334,0.7024999999999998,0.0578011437795328,[0 0 1 1 0 0 1 0 1 1 0 0],0.5333333333333333
20,0.1,0.75,[0 0 0 1 1 1 1 1 1 0 0 1],0.8166666666666667,0.6958333333333334,0.06909634979907082,[1 0 0 1 0 1 1 0 0 0 1 0],0.55
20,0.1,0.9,[0 1 0 0 1 1 1 1 1 1 0 1],0.8333333333333334,0.7100000000000001,0.06132789830991366,[1 0 0 0 0 0 1 1 1 0 1 0],0.5833333333333334
20,0.15,0.6,[0 0 0 0 1 1 1 0 1 1 1 1],0.8333333333333334,0.6866666666666668,0.08359957469322968,[0 0 0 0 0 1 1 0 0 0 1 0],0.5166666666666667
20,0.15,0.75,[1 0 0 0 1 1 1 1 1 1 1 1],0.8166666666666667,0.72,0.04876246279442599,[1 0 0 0 0 1 0 0 1 0 0 0],0.6166666666666667
20,0.15,0.9,[0 0 0 0 1 0 0 1 1 1 1 1],0.85,0.6924999999999999,0.042646805273079944,[0 1 0 0 1 1 1 1 0 0 0 0],0.6166666666666667
20,0.2,0.6,[0 1 0 1 1 1 1 1 0 1 0 1],0.85,0.7175,0.07931564928954578,[0 1 1 1 0 0 0 0 0 1 1 0],0.5666666666666667
20,0.2,0.75,[0 0 1 0 0 0 0 1 1 1 0 1],0.8333333333333334,0.6966666666666667,0.06637435917246627,[1 0 0 0 0 0 1 1 1 0 1 0],0.5833333333333334
20,0.2,0.9,[0 0 0 0 1 1 1 1 1 0 1 1],0.8166666666666667,0.6816666666666665,0.06431260460524911,[0 1 1 0 0 1 1 0 0 0 0 0],0.5333333333333333
30,0.1,0.6,[0 0 0 0 1 0 1 0 1 1 0 1],0.85,0.7144444444444445,0.08127836636834045,[0 1 1 0 0 1 0 0 1 1 1 0],0.5166666666666667
30,0.1,0.75,[0 0 0 1 1 0 0 1 0 1 1 1],0.85,0.7116666666666666,0.08166666666666667,[0 0 1 0 0 1 0 0 1 1 0 0],0.5
30,0.1,0.9,[0 1 0 1 1 1 1 1 0 1 0 1],0.85,0.6961111111111111,0.08516686598512589,[0 0 1 1 0 1 1 0 0 1 1 0],0.45
30,0.15,0.6,[0 0 0 0 1 0 1 1 1 0 0 1],0.8333333333333334,0.6822222222222222,0.07427842183714785,[0 1 1 1 1 1 1 0 0 0 0 0],0.5
30,0.15,0.75,[0 0 0 1 1 1 1 1 0 1 0 1],0.8333333333333334,0.7194444444444444,0.060565748377636765,[0 1 1 1 0 0 1 0 0 1 0 0],0.5333333333333333
30,0.15,0.9,[0 1 0 0 1 0 1 1 0 0 0 1],0.8333333333333334,0.6966666666666667,0.06286375626584725,[1 1 1 1 0 0 0 0 0 1 1 0],0.55
30,0.2,0.6,[1 0 0 1 1 1 0 1 1 1 1 1],0.8333333333333334,0.6805555555555555,0.06237332842461938,[0 1 0 0 0 0 0 0 0 1 1 0],0.5666666666666667
30,0.2,0.75,[0 0 0 0 1 0 1 0 1 1 0 1],0.85,0.6844444444444444,0.09138171197756484,[0 0 0 0 0 1 1 1 0 0 1 0],0.5
30,0.2,0.9,[0 0 0 1 1 0 1 1 1 1 0 1],0.8333333333333334,0.6749999999999999,0.07197607627229727,[0 0 1 0 0 0 1 0 1 0 0 0],0.55
